      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.008600           0.006541          -0.015449         735.650730           0.000040          -0.000174          -1.939784          -0.000060           0.000306           9.870204           0.006560          -0.015581         727.720310
      12.008800           0.006541          -0.015449         735.650730           0.000040          -0.000174          -1.939784          -0.000060           0.000306           9.870204           0.006560          -0.015581         727.720310
      12.009000           0.006541          -0.015449         735.650730           0.000040          -0.000174          -1.939784          -0.000060           0.000306           9.870204           0.006560          -0.015581         727.720310
      12.009200           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.009400           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.009600           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.009800           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.010000           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.010200           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.010400           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.010600           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.010800           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.011000           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.011200           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
      12.011400           0.006555          -0.015542         736.154116           0.000041          -0.000176          -1.937725          -0.000061           0.000310           9.865186           0.006575          -0.015676         728.226655
