GAMMA                           1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
L                             101         0.9038699259      0.5000000000      0.0000000000      0.0000000000
U                             208         1.8718809967      0.6291000000      0.6291000000      0.2418000000
X                             246         2.2183704771      0.5000000000      0.5000000000      0.0000000000
GAMMA                         360         3.2504741235      0.0000000000      0.0000000000      0.0000000000
Z                             455         4.1134754456      0.5000000000      0.5000000000      0.5000000000
U                             528         4.7772079787      0.6291000000      0.6291000000      0.2418000000
